sample_name / score,collision_score,comfort_score,drivable_score
output_5752de06-cbd1-42d8-8a81-03649a38636c,0.0,97.096,78.1140324162013
output_cacd477e-0dbb-4397-9916-ec1312909250,0.0,100.0,100
output_a8d12a9e-6cc3-4b45-9064-fa4cafca8e9d,0.0,100.0,71.96492349340465
total sample,0.0,99.032,83.35965196986865
